web-scraper-order,web-scraper-start-url,Flag,Country,IOC,FIFA,ISO
"1571845386-124","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Laos","LAO","LAO","LAO"
"1571845386-34","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","British Indian Ocean Territory","","","IOT"
"1571845386-103","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Hungary","HUN","HUN","HUN"
"1571845386-148","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Moldova","MDA","MDA","MDA"
"1571845386-169","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Norway","NOR","NOR","NOR"
"1571845386-82","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","French Southern and Antarctic Lands","","","ATF"
"1571845386-112","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Italy","ITA","ITA","ITA"
"1571845386-27","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Bhutan","BHU","BHU","BTN"
"1571845386-203","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Sierra Leone","SLE","SLE","SLE"
"1571845386-200","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Senegal","SEN","SEN","SEN"
"1571845386-90","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Greenland","","","GRL"
"1571845386-50","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Cocos (Keeling) Islands","","","CCK"
"1571845386-162","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Nicaragua","NCA","NCA","NIC"
"1571845386-248","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Wales","","WAL","[21]"
"1571845386-180","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Poland","POL","POL","POL"
"1571845386-157","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Nauru","NRU","","NRU"
"1571845386-213","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Sri Lanka","SRI","SRI","LKA"
"1571845386-14","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Aruba","ARU","ARU","ABW"
"1571845386-204","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Singapore","SGP","SIN","SGP"
"1571845386-20","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Bangladesh","BAN","BAN","BGD"
"1571845386-93","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Guam","GUM","GUM","GUM"
"1571845386-66","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Dominican Republic","DOM","DOM","DOM"
"1571845386-234","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Tuvalu","TUV","","TUV"
"1571845386-125","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Latvia","LAT","LVA","LVA"
"1571845386-62","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Czech Republic","CZE","CZE","CZE"
"1571845386-105","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","India","IND","IND","IND"
"1571845386-137","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Malaysia","MAS","MAS","MYS"
"1571845386-18","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","The Bahamas","BAH","BAH","BHS"
"1571845386-198","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Saudi Arabia","KSA","KSA","SAU"
"1571845386-2","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Afghanistan","AFG","AFG","AFG"
"1571845386-3","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Åland Islands","","","ALA"
"1571845386-108","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Iraq","IRQ","IRQ","IRQ"
"1571845386-114","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Japan","JPN","JPN","JPN"
"1571845386-195","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Samoa[1]","SAM","SAM","WSM"
"1571845386-174","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Panama","PAN","PAN","PAN"
"1571845386-47","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Chile","CHI","CHI","CHL"
